commune;secteur;insee;cx;cy;source
L'AIGUILLON-SUR-MER;2;85001;-1.27;46.3;polygon
L'AIGUILLON-SUR-VIE;1;85002;-1.83;46.67;polygon
AIZENAY;1;85003;-1.63;46.74;polygon
ANGLES;1;85004;-1.4;46.39;polygon
ANTIGNY;3;85005;-0.76;46.61;polygon
APREMONT;1;85006;-1.75;46.76;polygon
AUBIGNY;3;85008;173.81;220.08;path(min)
AUZAY;3;85009;298.28;282.95;path(min)
AVRILLE;1;85010;-1.5;46.47;polygon
BARBATRE;1;85011;-2.17;46.93;polygon
LA BARRE-DE-MONTS;1;85012;-2.09;46.87;polygon
BAZOGES-EN-PAILLERS;2;85013;-1.15;46.92;polygon
BAZOGES-EN-PAREDS;3;85014;-0.92;46.66;polygon
BEAUFOU;1;85015;-1.51;46.82;polygon
BEAULIEU-SOUS-LA-ROCHE;1;85016;-1.63;46.69;polygon
BEAUREPAIRE;2;85017;-1.1;46.91;polygon
BEAUVOIR-SUR-MER;1;85018;-2.06;46.9;polygon
BELLEVILLE-SUR-VIE;3;85019;188.99;171.1;path(min)
BENET;3;85020;-0.61;46.37;polygon
LA BERNARDIERE;2;85021;-1.27;47.04;polygon
LE BERNARD;1;85022;-1.44;46.45;polygon
BESSAY;2;85023;-1.17;46.54;polygon
BOIS-DE-CENE;1;85024;-1.89;46.95;polygon
LA BOISSIERE-DE-MONTAIGU;2;85025;-1.19;46.95;polygon
LA BOISSIERE-DES-LANDES;1;85026;-1.44;46.56;polygon
BOUFFERE;3;85027;202.97;106.54;path(min)
BOUILLE-COURDAULT;3;85028;-0.68;46.38;polygon
BOUIN;1;85029;-2.01;46.98;polygon
BOULOGNE;3;85030;226.52;170.29;path(min)
LE BOUPERE;3;85031;-0.93;46.79;polygon
BOURNEAU;3;85033;-0.81;46.55;polygon
BOURNEZEAU;2;85034;-1.14;46.63;polygon
BRETIGNOLLES-SUR-MER;1;85035;-1.87;46.63;polygon
LA BRETONNIERE-LA-CLAYE;2;85036;-1.26;46.49;polygon
BREUIL-BARRET;3;85037;-0.68;46.65;polygon
LES BROUZILS;2;85038;-1.34;46.89;polygon
LA BRUFFIERE;2;85039;-1.18;47.01;polygon
LA CAILLERE-SAINT-HILAIRE;3;85040;-0.93;46.63;polygon
CEZAIS;3;85041;-0.8;46.59;polygon
CHAILLE-LES-MARAIS;2;85042;-1.01;46.39;polygon
